domain,name,phone,address,logo_url,location,color,cf_project,logo_present
lockaidlocksmithsleicester.co.uk,Lockaid Locksmiths Leicester,0116 409 1121,,Lockaid_Locksmiths_Leicester_Logo.png,Leicester,Black Gold Logo,lockaidlocksmithsleicester,True
lockcobristollocksmiths.co.uk,Lockco Locksmiths Bristol,0117 254 1214,,Lockco_Locksmiths_Bristol_Logo.png,Bristol,Black Gold Logo,lockcobristollocksmiths,True
lockfitsheffieldlocksmiths.co.uk,Lockfit Sheffield Locksmiths,0114 403 1258,"{""street"":""Leopold St"",""city"":""Sheffield"",""postcode"":""S1 2GY"",""country"":""England""}",Lockfit_sheffield_locksmiths_logo.png,Sheffield,,lockfitsheffieldlocksmiths,True
lockfixlocksmithsliverpool.co.uk,Lockfix Locksmiths Liverpool,0151 701 1001,"{""street"":""Cotton Exchange"",""city"":""Liverpool"",""postcode"":""L3 9LQ"",""country"":""England""}",Lockfix_Locksmiths_Liverpool_Logo.png,Liverpool,,lockfixlocksmithsliverpool,True
lockhubnottinghamlocksmiths.co.uk,Lockhub Locksmiths Nottingham,0115 735 1295,,Lockhub_Locksmiths_Nottingham_Logo.png,Nottingham,Black Gold Logo,lockhubnottinghamlocksmiths,True
locklablocksmithsbradford.co.uk,Locklab Locksmiths Bradford,01274 950075,,Locklab_Locksmiths_Bradford_Logo.png,Bradford,Black Gold Logo,locklablocksmithsbradford,True
lockmanlocksmithsbirmingham.co.uk,Lockman Locksmiths Birmingham,0121 400 0413,"{""street"":""Fox St"",""city"":""Birmingham"",""postcode"":""B5 5JR"",""country"":""England""}",Lockman_Locksmiths_Birmingham_Logo.png,Birmingham,,lockmanlocksmithsbirmingham,True
locknowcoventrylocksmiths.co.uk,Locknow Locksmiths Coventry,024 7741 1127,,Locknow_Locksmiths_Coventry_Logo.png,Coventry,Black Gold Logo,locknowcoventrylocksmiths,True
lockproleedslocksmiths.co.uk,Lockpro Leeds Locksmiths,0113 892 1480,"{""street"":""Oxford Row"",""city"":""Leeds"",""postcode"":""LS1 3BE"",""country"":""England""}",Lockpro_Leeds_Locksmiths_logo.png,Leeds,,lockproleedslocksmiths,True
lockteklocksmithsmanchester.co.uk,Locktek Locksmiths Manchester,0161 738 1497,"{""street"":""Pall Mall, Kings St"",""city"":""Manchester"",""postcode"":""M2 4PD"",""country"":""England""}",Locktek_Locksmiths_Manchester_logo.png,Manchester,,lockteklocksmithsmanchester,True
bournemouth.shield-locksmiths.co.uk,Shield Locksmiths Bournemouth,01202 935089,,Shield_Locksmiths_Bournemouth_Logo.png,Bournemouth,Black Gold Logo,bournemouth---shield-locksmiths,True
castleford.shield-locksmiths.co.uk,Shield Locksmiths Castleford,01977 210006,,Shield_Locksmiths_Castleford.png,Castleford,Red Yellow Logo,castleford---shield-locksmiths,False
chester.shield-locksmiths.co.uk,Shield Locksmiths Chester,01244 557061,,Shield_Locksmiths_Chester_Logo.png,Chester,Black White Gold Logo,chester---shield-locksmiths,True
consett.shield-locksmiths.co.uk,Shield Locksmiths Consett,01207 763119,,Shield_Locksmiths_Consett_Logo.png,Consett,Blue Green White Logo,consett---shield-locksmiths,False
hucknall.shield-locksmiths.co.uk,Shield Locksmiths Hucknall,0115 735 1303,,Shield_Locksmiths_Hucknall_Logo.png,Hucknall,Blue Yellow White Logo,hucknall---shield-locksmiths,False
lancing.shield-locksmiths.co.uk,Shield Locksmiths Lancing,01903 377061,,Shield_Locksmiths_Lancing_Logo.png,Lancing,Giant Key Silver Gold Logo,lancing---shield-locksmiths,False
normanton.shield-locksmiths.co.uk,Shield Locksmiths Normanton,01924 658041,,Shield_Locksmiths_Normanton_Logo.png,Normanton,Yellow Black Logo,normanton---shield-locksmiths,False
runcorn.shield-locksmiths.co.uk,Shield Locksmiths Runcorn,01928 611001,,Shield_Locksmiths_Runcorn_Logo.png,Runcorn,Metal White Orange Logo,runcorn---shield-locksmiths,True
wilmslow.shield-locksmiths.co.uk,Shield Locksmiths Wilmslow,01625 351018,,Shield_Locksmiths_Wilmslow_Logo.png,Wilmslow,Red White Blue Logo,wilmslow---shield-locksmiths,False
boston.shieldx-locksmiths.co.uk,Shieldx Locksmiths Boston,01205 601044,,Shieldx_Locksmiths_Boston.png,Boston,Red Yellow Logo,boston---shieldx-locksmiths,False
farnborough.shieldx-locksmiths.co.uk,Shieldx Locksmiths Farnborough,01252 493213,,Shieldx_Locksmiths_Farnborough_Logo.png,Farnborough,Metal White Orange Logo,farnborough---shieldx-locksmiths,True
hastings.shieldx-locksmiths.co.uk,Shieldx Locksmiths Hastings,01424 571056,,Shieldx_Locksmiths_Hastings_Logo.png,Hastings,Black White Gold Logo,hastings---shieldx-locksmiths,True
huntingdon.shieldx-locksmiths.co.uk,Shieldx Locksmiths Huntingdon,01480 745015,,Shieldx_Locksmiths_Huntingdon_Logo.png,Huntingdon,Red White Blue Logo,huntingdon---shieldx-locksmiths,False
locksheath.shieldx-locksmiths.co.uk,Shieldx Locksmiths Locksheath,01489 298008,,Shieldx_Locksmiths_Locksheath_Logo.png,Locks Heath,Blue Yellow White Logo,locksheath---shieldx-locksmiths,False
newark-on-trent.shieldx-locksmiths.co.uk,Shieldx Locksmiths Newark-on-Trent,01636 340017,,Shieldx_Locksmiths_Newark-on-Trent_Logo.png,Newark-on-Trent,Blue Green White Logo,newark-on-trent---shieldx-locksmiths,False
peterborough.shieldx-locksmiths.co.uk,Shieldx Locksmiths Peterborough,01733 699047,,Shieldx_Locksmiths_Peterborough_Logo.png,Peterborough,Black Gold Logo,peterborough---shieldx-locksmiths,True
sompting.shieldx-locksmiths.co.uk,Shieldx Locksmiths Sompting,01903 377078,,Shieldx_Locksmiths_Sompting_Logo.png,Sompting,Giant Key Silver Gold Logo,sompting---shieldx-locksmiths,False
westhoughton.shieldx-locksmiths.co.uk,Shieldx Locksmiths Westhoughton,01942 461068,,Shieldx_Locksmiths_Westhoughton_Logo.png,Westhoughton,Yellow Black Logo,westhoughton---shieldx-locksmiths,False
arnold.steelok-locksmiths.co.uk,Steelok Locksmiths Arnold,0115 735 1298,,Steelok_Locksmiths_Arnold.png,Arnold,Red Yellow Logo,arnold---steelok-locksmiths,False
bloxwich.steelok-locksmiths.co.uk,Steelok Locksmiths Bloxwich,01922 267094,,Steelok_Locksmiths_Bloxwich_Logo.png,Bloxwich,Metal White Orange Logo,bloxwich---steelok-locksmiths,True
